Results of Simulation 1

Time	A1	A2
0	10	0
0.1	9.04837	0.927847
0.2	8.18731	1.72213
0.3	7.40819	2.39778
0.4	6.70321	2.96819
0.5	6.06533	3.44536
0.6	5.48809	3.84018
0.7	4.96583	4.16209
0.8	4.49327	4.41985
0.9	4.06568	4.6212
1	3.67878	4.77304
1.1	3.3287	4.88159
1.2	3.01194	4.95235
1.3	2.72532	4.99027
1.4	2.46598	4.99975
1.5	2.23131	4.98471
1.6	2.01897	4.94863
1.7	1.82684	4.89461
1.8	1.65299	4.8254
1.9	1.49569	4.74344
2	1.35336	4.65087
2.1	1.22457	4.54962
2.2	1.10804	4.44135
2.3	1.00259	4.32755
2.4	0.907184	4.20951
2.5	0.820857	4.08838
2.6	0.742743	3.96515
2.7	0.672062	3.84068
2.8	0.608108	3.71572
2.9	0.550242	3.59092
3	0.497879	3.46685
3.1	0.4505	3.34396
3.2	0.407631	3.22267
3.3	0.36884	3.10332
3.4	0.333741	2.98619
3.5	0.301982	2.87152
3.6	0.273245	2.75949
3.7	0.247243	2.65026
3.8	0.223714	2.54395
3.9	0.202425	2.44063
4	0.183162	2.34039
4.1	0.165732	2.24324
4.2	0.14996	2.14921
4.3	0.13569	2.05831
4.4	0.122778	1.97051
4.5	0.111094	1.8858
4.6	0.100522	1.80414
4.7	0.0909561	1.72547
4.8	0.0823004	1.64976
4.9	0.0744685	1.57694
5	0.0673819	1.50694
5.1	0.0609697	1.4397
5.2	0.0551676	1.37514
5.3	0.0499177	1.31319
5.4	0.0451674	1.25378
5.5	0.0408692	1.19682
5.6	0.03698	1.14224
5.7	0.0334609	1.08997
5.8	0.0302766	1.03991
5.9	0.0273955	0.992005
6	0.0247885	0.946166
6.1	0.0224295	0.902321
6.2	0.0202951	0.860396
6.3	0.0183637	0.820317
6.4	0.0166162	0.782013
6.5	0.015035	0.745416
6.6	0.0136043	0.710456
6.7	0.0123097	0.677069
6.8	0.0111383	0.64519
6.9	0.0100783	0.614758
7	0.00911924	0.585711
7.1	0.00825143	0.557991
7.2	0.00746621	0.531543
7.3	0.00675572	0.506312
7.4	0.00611262	0.482244
7.5	0.00553048	0.459288
7.6	0.00500384	0.437399
7.7	0.00452742	0.416528
7.8	0.00409617	0.39663
7.9	0.00370579	0.37766
8	0.00335294	0.359583
8.1	0.00303358	0.342353
8.2	0.00274477	0.325936
8.3	0.00248358	0.310295
8.4	0.00224724	0.295392
8.5	0.00203339	0.281194
8.6	0.00183988	0.267669
8.7	0.0016648	0.254785
8.8	0.00150638	0.242514
8.9	0.00136303	0.230826
9	0.00123332	0.219695
9.1	0.00111596	0.209095
9.2	0.00100976	0.199001
9.3	0.000913672	0.189389
9.4	0.000826725	0.180237
9.5	0.000748051	0.171524
9.6	0.000676865	0.163228
9.7	0.000612453	0.15533
9.8	0.000554162	0.147811
9.9	0.000501414	0.140653
10	0.000453701	0.13384


