Results of Simulation 1

Time	CR_mgL	CS_mgL	CK_mgL	CH_mgL	CBL_mgL	BalErr
0	0	0	0	0	0	0
0.1	94.4253	32.0256	239.702	55.9672	151.672	-1.74682e-07
0.2	47.9105	16.2782	122.892	23.2906	76.8085	-1.74696e-07
0.3	24.1519	8.20598	61.9549	11.7245	38.719	-1.74694e-07
0.4	12.1748	4.13657	31.231	5.91024	19.5179	-1.74693e-07
0.5	6.13706	2.08517	15.7429	2.97924	9.83861	-1.74691e-07
0.6	3.09354	1.05108	7.93562	1.50176	4.9594	-1.74691e-07
0.7	1.55943	0.529842	4.00029	0.757028	2.5	-1.74683e-07
0.8	0.78609	0.267087	2.0165	0.381608	1.26022	-1.74684e-07
0.9	0.396231	0.134626	1.01642	0.192351	0.635216	-1.74684e-07
1	0.199746	0.0678669	0.512393	0.0969668	0.320222	-1.74685e-07
1.1	0.100683	0.0342085	0.258273	0.0488764	0.161409	-1.74685e-07
1.2	0.0507493	0.0172429	0.130183	0.0246363	0.0813586	-1.74685e-07
1.3	0.0255803	0.00869131	0.0656191	0.012418	0.0410089	-1.74684e-07
1.4	0.012895	0.00438129	0.0330786	0.0062599	0.0206726	-1.74683e-07
1.5	0.00650093	0.0022088	0.0166763	0.00315588	0.0104219	-1.74684e-07
1.6	0.00327676	0.00111333	0.00840562	0.00159071	0.00525313	-1.74683e-07
1.7	0.00165274	0.000561545	0.00423964	0.000802323	0.00264958	-1.74683e-07
1.8	0.000835517	0.000283881	0.00214329	0.000405603	0.00133946	-1.74683e-07
1.9	0.000421543	0.000143226	0.00108135	0.000204639	0.000675796	-1.74683e-07
2	0.000212633	7.22455e-05	0.000545451	0.000103223	0.000340882	-1.74683e-07
2.1	0.000106887	3.63166e-05	0.000274189	5.18884e-05	0.000171356	-1.74683e-07
2.2	5.37448e-05	1.82607e-05	0.000137867	2.60904e-05	8.61608e-05	-1.74683e-07
2.3	2.71484e-05	9.2241e-06	6.96416e-05	1.31792e-05	4.35228e-05	-1.74683e-07
2.4	1.37138e-05	4.6595e-06	3.5179e-05	6.65739e-06	2.19853e-05	-1.74683e-07
2.5	6.79983e-06	2.31035e-06	1.74431e-05	3.30098e-06	1.09011e-05	-1.74683e-07
2.6	3.75257e-06	1.275e-06	9.62618e-06	1.82169e-06	6.01592e-06	-1.74683e-07
2.7	2.10778e-06	7.16153e-07	5.40693e-06	1.02322e-06	3.37908e-06	-1.74683e-07
2.8	1.18392e-06	4.02256e-07	3.03702e-06	5.74735e-07	1.898e-06	-1.74683e-07
2.9	6.64996e-07	2.25943e-07	1.70586e-06	3.22823e-07	1.06609e-06	-1.74683e-07
3	3.73522e-07	1.2691e-07	9.58167e-07	1.81327e-07	5.98811e-07	-1.74683e-07
3.1	2.09804e-07	7.12842e-08	5.38193e-07	1.01849e-07	3.36346e-07	-1.74683e-07
3.2	1.17845e-07	4.00396e-08	3.02298e-07	5.72078e-08	1.88922e-07	-1.74684e-07
