Results of Simulation 1

Time	CR_mgL	CS_mgL	CBL_mgL	BalErr
0	0	0	0	-nan
0.1	265.769	475.642	447.348	-3.30056e-11
0.2	289.395	696.138	483.29	-3.3087e-11
0.3	294.45	763.647	490.878	-3.3411e-11
0.4	294.128	780.457	490.074	-3.37538e-11
0.5	292.076	780.731	486.568	-3.41004e-11
0.6	289.477	775.648	482.209	-3.44497e-11
0.7	286.717	768.863	477.604	-3.47787e-11
0.8	283.925	761.573	472.949	-3.51203e-11
0.9	281.14	754.169	468.31	-3.54621e-11
1	278.377	746.777	463.706	-3.58082e-11
1.1	275.638	739.437	459.144	-3.62068e-11
1.2	272.925	732.163	454.626	-3.66068e-11
1.3	270.24	724.958	450.151	-3.69728e-11
1.4	267.58	717.824	445.721	-3.7342e-11
1.5	264.946	710.759	441.334	-3.77169e-11
1.6	262.339	703.764	436.991	-3.80934e-11
1.7	259.757	696.838	432.69	-3.84779e-11
1.8	257.2	689.979	428.432	-3.88649e-11
1.9	254.669	683.189	424.215	-3.92515e-11
2	252.163	676.465	420.04	-3.9645e-11
2.1	249.681	669.807	415.906	-4.00398e-11
2.2	247.224	663.215	411.813	-4.04387e-11
2.3	244.791	656.688	407.76	-4.08407e-11
2.4	242.381	650.225	403.747	-4.12466e-11
2.5	239.996	643.825	399.773	-4.16566e-11
2.6	237.634	637.489	395.839	-4.20705e-11
2.7	235.295	631.215	391.943	-4.24887e-11
2.8	232.979	625.003	388.085	-4.2911e-11
2.9	230.686	618.851	384.266	-4.33375e-11
3	228.416	612.761	380.484	-4.37697e-11
3.1	226.168	606.73	376.739	-4.42051e-11
3.2	223.942	600.759	373.032	-4.46446e-11
3.3	221.738	594.846	369.36	-4.50884e-11
3.4	219.556	588.992	365.725	-4.55364e-11
3.5	217.395	583.195	362.126	-4.59892e-11
3.6	215.255	577.455	358.562	-4.64465e-11
3.7	213.137	571.772	355.033	-4.6912e-11
3.8	211.039	566.145	351.539	-4.73851e-11
3.9	208.962	560.573	348.079	-4.78555e-11
4	206.906	555.056	344.653	-4.83301e-11
